spawns	name	room	loc_x	loc_y	loc_z	yaw	script	mood	animation_mood	respawn_time	spawn_objvar	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value
s	s	s	f	f	f	f	s	s	s	i	s	s	s	s	s	s
gungan_outcast		world	-4428.068848	261.6832581	-2230.720459	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	-4428.068848	261.6832581	-2230.720459	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	-4428.068848	261.6832581	-2230.720459	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	-4428.068848	261.6832581	-2230.720459	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	-4428.068848	261.6832581	-2230.720459	90	theme_park.dungeon.generic_death			360						
naboo_monk		world	1007.372375	184.610199	-3453.328125	90	theme_park.dungeon.generic_death			360						
naboo_monk		world	1007.372375	184.610199	-3453.328125	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	3488.171631	112.4781723	-2885.512207	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	3488.171631	112.4781723	-2885.512207	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	3488.171631	112.4781723	-2885.512207	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	3488.171631	112.4781723	-2885.512207	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	3488.171631	112.4781723	-2885.512207	90	theme_park.dungeon.generic_death			360						
master_thief		world	1253.269531	10.67560863	4295.044434	90	theme_park.dungeon.generic_death			360						
master_thief		world	1253.269531	10.67560863	4295.044434	90	theme_park.dungeon.generic_death			360						
master_thief		world	1253.269531	10.67560863	4295.044434	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	1234.162354	-196.0768433	5510.05957	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	1234.162354	-196.0768433	5510.05957	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	1234.162354	-196.0768433	5510.05957	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	1234.162354	-196.0768433	5510.05957	90	theme_park.dungeon.generic_death			360						
gungan_outcast		world	1234.162354	-196.0768433	5510.05957	90	theme_park.dungeon.generic_death			360						
gungan_priest		world	1946.679077	-187.7405701	6618.380859	90	theme_park.dungeon.generic_death			360						
gungan_priest		world	1946.679077	-187.7405701	6618.380859	90	theme_park.dungeon.generic_death			360						
gungan_priest		world	1946.679077	-187.7405701	6618.380859	90	theme_park.dungeon.generic_death			360						
gungan_priest		world	1946.679077	-187.7405701	6618.380859	90	theme_park.dungeon.generic_death			360						
gungan_priest		world	1946.679077	-187.7405701	6618.380859	90	theme_park.dungeon.generic_death			360						
gungan_mercenary		world	2145.414551	-196.0162201	5426.338379	90	theme_park.dungeon.generic_death			360						
gungan_mercenary		world	2145.414551	-196.0162201	5426.338379	90	theme_park.dungeon.generic_death			360						
gungan_mercenary		world	2145.414551	-196.0162201	5426.338379	90	theme_park.dungeon.generic_death			360						
gungan_mercenary		world	2145.414551	-196.0162201	5426.338379	90	theme_park.dungeon.generic_death			360						
gungan_mercenary		world	2145.414551	-196.0162201	5426.338379	90	theme_park.dungeon.generic_death			360						
gungan_hunter		world	3421.479492	-198.2344971	5082.021973	90	theme_park.dungeon.generic_death			360						
gungan_hunter		world	3421.479492	-198.2344971	5082.021973	90	theme_park.dungeon.generic_death			360						
gungan_hunter		world	3421.479492	-198.2344971	5082.021973	90	theme_park.dungeon.generic_death			360						
gungan_hunter		world	3421.479492	-198.2344971	5082.021973	90	theme_park.dungeon.generic_death			360						
gungan_hunter		world	3421.479492	-198.2344971	5082.021973	90	theme_park.dungeon.generic_death			360						
highwayman		world	3620.789795	107.0552444	549.6134033	90	theme_park.dungeon.generic_death			360						
highwayman		world	3620.789795	107.0552444	549.6134033	90	theme_park.dungeon.generic_death			360						
highwayman		world	3620.789795	107.0552444	549.6134033	90	theme_park.dungeon.generic_death			360						
lesser_prophet_of_the_dark_side		world	-1640.726318	14.03703785	-4034.108887	90	theme_park.dungeon.generic_death			18000						
